test_date,address_full,lead_ppb,copper_ppb
2015-12-10 15:08:59,"665 E HEMPHILL RD,FLINT,48507",0,90
2015-12-10 15:08:52,"3602 MILBOURNE AVE,FLINT,48504",0,90
2015-12-02 14:42:25,"346 ALLENDALE PLACE,FLINT,48503",0,90
2015-11-24 15:04:11,"700 E COURT ST #303,FLINT,48503",0,90
2015-11-24 15:04:03,"429 CHAVEZ DR (NORTH BOUND),FLINT,48503",0,90
2015-11-09 15:02:15,"1419 MULBERRY LN,FLINT,48507",0,90
2015-10-13 14:29:45,"4123 COGGINS AVE,FLINT,48506",0,90
2016-02-15 12:49:26,"2101 STEDRON ST APT #110,FLINT,48504",0,80
2016-02-15 12:49:21,"2101 STEDRON ST APT #229,FLINT,48504",0,80
2016-02-15 12:21:42,"2101 STEDRON ST APT #254,FLINT,48504",0,80
2016-02-15 12:20:56,"2101 STEDRON ST APT #218,FLINT,48504",0,80
2016-02-15 12:20:46,"2101 STEDRON ST APT #339,FLINT,48504",0,80
2016-02-15 12:20:33,"2101 STEDRON STREET APT 205,FLINT,48504",0,80
2016-02-15 12:18:09,"3618 COMANCHE AVE,FLINT,",0,80
2016-02-14 12:02:42,"4105 DONNELLY,FLINT,48504",0,80
2016-02-14 12:02:03,"3404 LYNNE AVENUE,FLINT,48506",0,80
2016-02-14 12:01:48,"4105 DONNELLY,FLINT,48504",0,80
2016-02-13 12:29:08,"4320 WARRINGTON DRIVE,FLINT,48504",0,80
2016-02-13 12:24:45,"3248 W GRACELAWN AVE,FLINT,48504",0,80
2016-02-12 13:45:43,"3800 RICHFIELD ROAD 311,FLINT,48506",0,80
2016-02-12 13:45:30,"3800 RICHFIELD ROAD 420,FLINT,48506",0,80
2016-02-12 13:20:19,"5908 LESLIE DR,FLINT,",0,80
2016-02-12 13:15:26,"902 E COURT ST #504,FLINT,48503",0,80
2016-02-12 13:11:10,"2001 N CENTER #117,FLINT,48506",0,80
2016-02-12 13:10:23,"1829 ROCKCREEK LANE,FLINT,48507",0,80
2016-02-12 13:10:10,"3800 RICHFIELD ROAD #511,FLINT,48506",0,80
2016-02-12 13:05:11,"820 GARLAND ST #48,FLINT,48503",0,80
2016-02-12 13:05:05,"1930 COLCHESTER,FLINT,48503",0,80
2016-02-12 08:21:42,"2729 GAMMA LANE,FLINT,48506",0,80
2016-02-10 14:28:35,"209 REDWOOD DRIVE,FLINT,48505",0,80
2016-02-09 14:11:00,"1509 CRESTBROOK LN,FLINT,48507",0,80
2016-02-09 13:41:02,"1941 FLUSHING RD,FLINT,",0,80
2016-02-09 13:38:51,"3741 IVANHOE AVE,FLINT,48506",0,80
2016-02-08 13:29:11,"1722 GREENBROOK LN,FLINT,48507",0,80
2016-02-08 13:09:33,"4013 GRANDVIEW DRIVE,FLUSHING,48433",0,80
2016-02-08 13:08:48,"1714 PARKFRONT DR,FLINT,48504",0,80
2016-02-08 13:08:37,"3110 CHEYENNE AVE,FLINT,48507",0,80
2016-02-08 13:07:41,"616 WEST UNIVERSITY AVENUE,FLINT,48503",0,80
2016-02-07 12:25:57,"1629 OHIO AVE,FLINT,48506",0,80
2016-02-06 11:42:48,"1001 KENSINGTON AVE,FLINT,48503",0,80
2016-02-05 13:10:26,"2210 R T LONGWAY,FLINT,48503",0,80
2016-02-05 13:09:08,"2715 N STEVENSON STREET,FLINT,48504",0,80
2016-02-05 13:07:16,"2705 GAMMA LN,FLINT,48506",0,80
2016-02-05 13:03:42,"741 COLUMBIA DR,FLINT,48503",0,80
2016-02-05 13:03:30,"4023 JACQUE ST,FLINT,48532",0,80
2016-02-05 13:03:00,"983 GAINEY AVE,FLINT,48503",0,80
2016-02-04 13:22:57,"1813 TUSCOLA ST,FLINT,48503",0,80
2016-02-04 13:19:06,"2937 ALPHA WAY,FLINT,48506",0,80
2016-02-04 13:18:09,"2102 ROBERT T LONGWAY BLVD,FLINT,48503",0,80
2016-02-04 13:14:40,"1616 DURAND,FLINT,48503",0,80
2016-02-03 13:43:19,"2025 MAYBURY AVE,FLINT,48503",0,80
2016-02-03 13:41:24,"2116 CALUMET ST,FLINT,48503",0,80
2016-02-03 13:41:07,"821 E PIERSON RD,FLINT,48505",0,80
2016-02-03 13:40:43,"335 EDGEMONT,FLINT,48503",0,80
2016-02-03 13:38:43,"529 MLK BLVD,FLINT,48502",0,80
2016-02-03 13:38:14,"3826 FRAZER ST,FLINT,48532",0,80
2016-02-03 13:38:11,"718 NEUBERT AVE,FLINT,48507",0,80
2016-02-03 13:38:10,"4010 GREENBROOK,FLINT,48507",0,80
2016-02-03 13:37:44,"1701 LYNBROOK DDR,FLINT,48507",0,80
2016-02-03 13:34:21,"3905 KELLAR AVE,FLINT,48504",0,80
2016-02-02 14:13:23,"4102 LE ERDA,FLINT,48504",0,80
2016-02-02 14:03:04,"1819 OXLEY DR,FLINT,48504",0,80
2016-02-02 14:01:54,"4499 RAINBOW LN,FLINT,48507",0,80
2016-02-02 13:31:16,"3087 LANNING DR,FLINT,48506",0,80
2016-02-02 13:30:49,"7009 CRANWOOD DR,FLINT,48505",0,80
2016-02-02 13:30:26,"3418 LAS PALMAS CT,FLINT,48504",0,80
2016-02-02 13:27:02,"1702 BAYBERRY LANE,FLINT,48507",0,80
2016-02-02 13:24:36,"1123 WHITINGHAM DR,FLINT,48503",0,80
2016-02-02 13:20:54,"809 EAST HEMPHILL RD,FLINT,48507",0,80
2016-02-02 13:19:48,"1202 E HOLBROOK AVE,FLINT,48505",0,80
2016-02-02 13:19:15,"3914 PROCTOR ST,FLINT,48504",0,80
2016-02-01 13:31:02,"2701 NORBERT ST,FLINT,48504",0,80
2016-02-01 13:24:59,"2622 TERRACE DR,FLINT,48507",0,80
2016-02-01 13:23:54,"3440 LAPEER RD,FLINT,48503",0,80
2016-01-31 13:05:10,"972 GAINEY,FLINT,48503",0,80
2016-01-30 12:59:31,"1443 W GENESEE AVE,FLINT,48505",0,80
2016-01-30 12:30:01,"726 INGLESIDE AVE,FLINT,48507",0,80
2016-01-30 12:29:05,"3202 BEECHWOOD AVE,FLINT,48506",0,80
2016-01-29 13:11:30,"2833 COMANCHE AVE,FLINT,48507",0,80
2016-01-29 13:11:29,"1931 CARMENBROOK PKWY,FLINT,48507",0,80
2016-01-29 13:11:26,"1105 BURLINGTON DRIVE,FLINT,48503",0,80
2016-01-29 13:03:23,"5306 BALSMAN LN (ROSEWOOD MANOR),FLINT,48505",0,80
2016-01-29 13:02:50,"3626 ARLENE AVE,FLINT,48532",0,80
2016-01-29 12:44:40,"330 BURROUGHS AVE,FLINT,48507",0,80
2016-01-29 12:43:50,"504 FROST ST,FLINT,48504",0,80
2016-01-29 12:41:56,"5605 BRANCH RD,FLINT,48506",0,80
2016-01-29 12:41:12,"3709 CLAIRMONT ST,FLINT,48532",0,80
2016-01-29 12:41:03,"2101 WINDEMERE AVE,FLINT,48503",0,80
2016-01-28 13:06:42,"418 E PARKING AVE,FLINT,48505",0,80
2016-01-28 13:06:18,"2602 NOLEN DRIVE,FLINT,48504",0,80
2016-01-28 13:06:07,"3129 GULF LN,FLINT,48507",0,80
2016-01-28 13:04:24,"3721 IVANHOE AVE,FLINT,48506",0,80
2016-01-28 13:04:08,"7101 SHORE LANE,FLINT,48504",0,80
2016-01-27 14:11:53,"813 E HEMPHILL,FLINT,48507",0,80
2016-01-27 14:11:03,"702 FATHER DUKETTE APT 1117,FLINT,48503",0,80
2016-01-27 13:58:19,"3900 HAMMERBERG RD #223,FLINT,48507",0,80
2016-01-27 13:57:58,"3900 HAMMERBERG RD #238,FLINT,48507",0,80
2016-01-27 13:57:57,"3900 HAMMERBERG RD #233,FLINT,48507",0,80
2016-01-27 13:57:43,"3900 HAMMERBERG RD #128,FLINT,48507",0,80
2016-01-27 13:56:54,"3102 YALE ST,FLINT,48503",0,80
2016-01-27 13:56:35,"720 STOCKTON ST,FLINT,",0,80
2016-01-27 13:10:44,"1706 LAUREL OAK DR,FLINT,48507",0,80
2016-01-27 13:08:54,"3900 HAMMERBERG RD OFC,FLINT,48507",0,80
2016-01-27 13:06:50,"3900 HAMMERBERG RD,FLINT,48507",0,80
2016-01-27 13:02:49,"2036 CHELAN ST,FLINT,48503",0,80
2016-01-27 13:00:50,"1805 WINDSOR LANE,FLINT,48507",0,80
2016-01-26 13:46:37,"3901 AUGUSTA ST,FLINT,",0,80
2016-01-26 13:45:51,"1822 TERRACE CT,FLINT,48507",0,80
2016-01-26 12:25:12,"2033 TUSCOLA ST,FLINT,48503",0,80
2016-01-26 12:25:05,"1525 MURBERRY LANE,FLINT,48507",0,80
